speaker,language,sex
it01,italian,m
it02,italian,m
it03,italian,f
it04,italian,f
it05,italian,f
it07,italian,m
it09,italian,f
it10,italian,m
it11,italian,m
it12,italian,m
pl01,polish,f
pl02,polish,f
pl03,polish,m
pl04,polish,f
pl05,polish,m
pl06,polish,m
it13,italian,f
it14,italian,m
pl07,polish,f
