index,speaker,file,rec_date,word,time,word_duration,c1_duration,c1_closure,c1_rvot,c1_rvofft,vowel_duration,closure_duration,rvot,c2_duration,v2_duration,sentence_duration,c1_rel,v_onset,v_offset,rel_rel
1,pl03,pl03-001,24/03/2017 14:44:27,paka,1.3972906986788678,384.86860028742575,102.09536824344889,91.10950018727348,10.985868056175407,116.17503533730478,105.18916728112937,74.95703620012773,25.900812428248933,100.85784862837667,76.72621613447083,1.1349660000000001,1.4884001988661413,1.4993860669223167,1.604575234203446,191.1320715374325
2,pl03,pl03-002,24/03/2017 14:44:32,poko,3.8300654034894106,367.25074767704103,130.88483994101585,111.03221848100198,19.852621460013875,85.44098099469765,65.58835953468378,76.94974853308256,36.48864850180722,113.43839703488977,57.33915116645161,1.0449439999999997,1.154703064147283,1.174555685607297,1.2401440451419807,162.39072952778022
3,pl03,pl03-003,24/03/2017 14:44:36,pugu,6.019955,355.87380221525234,129.94975368740035,94.03086901214053,35.91888467525983,117.67209383043387,81.75320915517403,50.64394567662944,15.563263820694395,66.20720949732384,77.9636298753541,1.0824613459267853,1.0288158009849298,1.0647346856601896,1.1464878948153636,168.3160395070633
4,pl03,pl03-004,24/03/2017 14:44:40,podo,8.563546650172054,395.7204079153982,136.46060446362185,102.46583079700855,33.9947736666133,122.47723641984543,88.48246275323213,71.3835138681187,2.248745346108194,73.63225921422689,97.14508148431733,1.140046,1.2124070387921915,1.2464018124588048,1.334884275212037,193.86075028796412
5,pl03,pl03-005,24/03/2017 14:44:44,putu,10.899955,387.2498767075481,134.71272444937375,108.78106811725452,25.931656332119246,115.03287756614355,89.10122123402431,82.13012053201751,24.055933784584482,106.186054316602,57.249876707548,1.1350110000000004,1.1170353878451458,1.142967044177265,1.2320682654112893,197.16299809816107
6,pl03,pl03-006,24/03/2017 14:44:48,poto,13.369955,359.93041926164085,130.0000000000008,86.7044411067539,43.29555889324688,121.63015036088964,78.33459146764277,78.91593472222524,22.749473810131704,101.66540853235695,49.930419261640324,1.075011,1.1965233866849836,1.2398189455782305,1.3181535370458732,200.5460850831149
7,pl03,pl03-007,24/03/2017 14:44:52,pada,15.699977,401.7289647324809,139.9999999999988,96.19380737027505,43.80619262972374,140.4640364505454,96.65784382082165,67.02144682969013,13.279834919075029,80.30128174876516,84.76983916289527,1.0507960572221542,1.3301390613385298,1.3739452539682535,1.4706030977890752,207.48548328023554
8,pl03,pl03-008,24/03/2017 14:44:56,puku,17.864041995219058,390.7838469137523,160.25817162368128,129.59090606625168,30.6672655574296,79.5491016897465,48.88183613231689,88.7499902070914,38.02300681785198,126.77299702494338,54.87084213281079,1.0849879999999992,1.1823857357524297,1.2130530013098593,1.2619348374421762,168.2990918968379
9,pl03,pl03-009,24/03/2017 14:45:04,paga,19.714943,355.01314625413374,99.99999999999787,89.68286189568175,10.317138104316115,107.54714241235774,97.23000430804163,55.69277528190497,9.276753754722478,64.96952903662745,92.81361290946677,0.9950120000000027,0.6365532995374075,0.6468704376417236,0.7441004419497652,163.23991769426272
10,pl03,pl03-010,24/03/2017 14:45:08,pata,22.05349450136157,361.3683778573389,106.42627613619027,93.70408286752152,12.722193268668747,97.49195972598201,84.76976645731327,68.06597391932456,23.524169081163393,91.59014300048796,78.5821922633474,1.0500229999999995,1.234545523004602,1.2472677162732708,1.332037482730584,165.55793364530658
11,pl03,pl03-011,24/03/2017 14:45:12,pudu,24.264966,341.35931659077914,129.999999999999,86.92427751169873,43.07572248830027,107.17077326272317,64.0950507744229,67.07278693601637,13.365677585522207,80.43846452153858,66.82580129481863,1.0149659999999976,1.0127519555162365,1.0558276780045368,1.1199227287789597,174.24356019873954
12,pl03,pl03-012,24/03/2017 14:45:16,pogo,26.179977,358.5793981030818,119.99999999999744,94.0930762131309,25.906923786866543,104.12983575758972,78.22291197072317,57.05001099805074,14.72707703122822,71.77708802927896,88.57939810308224,1.0049889999999984,0.7522560172562187,0.7781629410430853,0.8563858530138084,161.17984675564045
13,pl03,pl03-013,24/03/2017 14:46:18,paka,29.109977,353.9222902907255,99.99999999999787,87.39277319423522,12.60722680576265,100.70252869824259,88.09530189247994,80.73802831257026,21.166669794951076,101.90469810752134,63.92229029072638,1.044989000000001,1.4464400679788199,1.4590472947845825,1.5471425966770624,181.44055701081285
14,pl03,pl03-014,24/03/2017 14:46:22,poko,31.949977,357.35951554135784,110.00000000000298,97.07541612926818,12.924583870734807,82.92458387072799,69.99999999999318,89.41924352828323,40.580756471719326,130.00000000000256,47.35951554135909,1.034920999999997,1.0685490147687275,1.0814735986394624,1.1514735986394555,172.34382739901122
15,pl03,pl03-015,24/03/2017 14:46:26,pugu,34.259955,315.8424747971935,128.9779478337323,93.15998303210904,35.81796480162325,80.36844805118903,44.55048324956579,--undefined--,--undefined--,--undefined--,64.96945473895721,0.9500220000000041,1.0642260941432227,1.100044058944846,1.1445945421944117,--undefined--
16,pl03,pl03-016,24/03/2017 14:46:30,podo,36.63363825353745,319.8972200003567,106.33874646255492,75.86332670950213,30.47541975305279,105.43238984776337,74.95697009471058,54.197022974179276,10.846006931103602,65.04302990528288,73.55847353780831,1.014921000000001,1.1798870677752973,1.21036248752835,1.2853194576230607,159.62941282194265
17,pl03,pl03-017,24/03/2017 14:46:34,putu,38.986555863627366,366.92273009711585,133.39913637263123,91.29604614862075,42.10309022401049,117.84372243961627,75.74063221560579,78.77308827555396,15.48627950884196,94.25936778439592,63.52359372448291,1.0799999999999983,1.1101421592090972,1.1522452494331077,1.2279858816487135,196.61681071517023
