index,speaker,file,rec_date,word,time,word_duration,c1_duration,c1_closure,c1_rvot,c1_rvofft,vowel_duration,closure_duration,rvot,c2_duration,v2_duration,sentence_duration,c1_rel,v_onset,v_offset,rel_rel
1,it09,it09-001,05/02/2018 12:08:15,poto,1.2992093462054146,310.3649176186814,99.38994414900803,--undefined--,--undefined--,--undefined--,71.34124825419575,78.27196604258747,14.410681262009062,92.68264730459653,46.95107791088105,1.2898870000000002,--undefined--,1.3985992903544227,1.4699405386086184,--undefined--
2,it09,it09-002,05/02/2018 12:08:19,pudu,3.516248942782249,298.1698324470239,124.3898687509053,83.0020087384411,41.387860012464195,87.11942940617989,45.7315693937157,48.64850038322777,9.278154182144949,57.926654565372715,70.12173973703017,1.2800000000000002,0.9986160308857697,1.0400038908982339,1.0857354602919496,135.76792978940767
3,it09,it09-003,05/02/2018 12:08:23,pogo,5.684989,288.8416790913171,98.75105785441285,82.82998472755843,15.921073126854424,93.96961822546146,78.04854509860704,35.01891092208442,14.37118402312798,49.390094945212404,62.651981193084794,1.2949660000000005,1.0077282817797126,1.023649354906567,1.101697900005174,128.98852914754588
4,it09,it09-004,05/02/2018 12:08:26,pada,7.668161395137344,281.70431645484587,85.97535046018479,77.01515619775812,8.960194262426668,82.13070529237055,73.17051102994387,--undefined--,--undefined--,--undefined--,64.022046140761,1.2199539999999995,0.9068999073441724,0.915860101606599,0.9890306126365429,--undefined--
5,it09,it09-005,05/02/2018 12:08:30,pucu,9.563402375118162,271.56362488183737,107.31674951058423,78.0642463144936,29.25250319609063,66.44751296964557,37.19500977355494,68.18233297112286,28.86953262657599,97.05186559769885,29.99999999999936,1.2499320000000012,0.8643237642897983,0.8935762674858889,0.9307712772594439,134.62984594076843
6,it09,it09-006,05/02/2018 12:08:34,podo,11.533867475982664,297.56007818843955,91.09852401733676,74.95418248806018,16.144341529276574,106.14434152927643,89.99999999999986,51.11192119458252,8.8880788054162,59.99999999999872,56.46155417110421,1.234966,0.8231527242303613,0.8392970657596379,0.9292970657596378,157.25626272385895
7,it09,it09-007,05/02/2018 12:08:38,paga,13.339032139979492,275.9108600205078,85.36559620160133,74.96319640984339,10.402399791757944,95.76799599335928,85.36559620160133,26.04274522197869,9.136922395326152,35.179667617304844,70.00000000000028,1.2200000000000006,0.7939499849154128,0.8043523847071707,0.8897179809087721,121.81074121533797
8,it09,it09-008,05/02/2018 12:08:41,putu,15.161557523186358,298.77958670560645,108.41947681364239,82.96332292366415,25.45615388997824,80.45081837654422,54.99466448656598,57.27247321862983,21.99558039714411,79.26805361577394,56.09739178962414,1.2249890000000008,0.8133190320510657,0.8387751859410439,0.8937698504276099,137.72329159517403
9,it09,it09-009,05/02/2018 12:08:45,poco,17.162742018813475,281.70646746528405,85.36559620160133,65.93360741521082,19.43198878639052,82.84643167900896,63.41444289261844,53.25902708693775,25.17391500536803,78.43294209230578,54.493486278758496,1.1600000000000001,0.7773377577479614,0.796769746534352,0.8601841894269704,136.1054587659467
10,it09,it09-010,05/02/2018 12:08:48,pata,18.789955,280.00000000000114,70.61709881242706,62.356532058434055,8.260566753993004,87.64346794156808,79.38290118757507,57.85359638596077,15.20206707218108,73.05566345814185,56.944336541857155,1.2199999999999989,0.7523568835323573,0.7606174502863503,0.8400003514739254,145.49706432752885
11,it09,it09-011,05/02/2018 12:08:52,paca,20.547130084943525,291.46253560260857,72.84691505647345,--undefined--,--undefined--,--undefined--,62.518530348921075,68.20481875075401,33.01438817400282,101.21920692475683,54.87788327245724,1.2149210000000004,--undefined--,0.7320858435374156,0.7946043738863366,--undefined--
12,it09,it09-012,05/02/2018 12:08:56,pugu,22.38369207730783,301.2969226921705,124.38986875090308,83.0050515991978,41.38481715170528,103.57975152716037,62.19493437545509,--undefined--,--undefined--,--undefined--,43.98062557019955,1.2499769999999977,0.7676495098594103,0.8090343270111156,0.8712292613865706,--undefined--
13,it09,it09-013,05/02/2018 12:09:20,poto,24.61,310.0000000000023,89.99999999999986,--undefined--,--undefined--,--undefined--,80.00000000000185,74.75408937624906,15.245910623750802,89.99999999999986,50.00000000000071,1.1099770000000007,--undefined--,1.0969160997732423,1.1769160997732442,--undefined--
14,it09,it09-014,05/02/2018 12:09:23,pudu,26.56192602677602,298.02897322397826,90.24363027026538,65.6927330800805,24.550897190184884,92.33624014389719,67.7853429537123,68.57484755096266,6.322306003713862,74.89715355467652,65.10284644532405,1.2600000000000016,0.876689054640682,0.9012399518308669,0.9690252947845792,160.91108769485984
15,it09,it09-015,05/02/2018 12:09:27,pogo,28.516414293217757,285.36499301678475,89.02412175310204,73.9284125153361,15.09570923776593,90.70523730203917,75.60952806427323,65.71607100405785,8.201985960809566,73.91805696486742,46.81328623454206,1.504989000000002,0.8308869234201666,0.8459826326579325,0.9215921607222057,156.42130830609702
16,it09,it09-016,05/02/2018 12:09:30,pada,30.32645476197235,318.2917229802591,98.53423802764993,92.4842377643742,6.050000263275734,106.05000026327716,100.00000000000142,--undefined--,--undefined--,--undefined--,64.63395140978534,1.2449429999999992,0.7902768682174468,0.7963268684807225,0.896326868480724,--undefined--
17,it09,it09-017,05/02/2018 12:09:33,pucu,32.209977,289.99999999999915,98.45555578182541,68.8142113487018,29.641344433123606,75.9826680854232,46.34132365229959,43.574243425140935,53.98643794811875,97.56068137325968,47.64243919261446,1.2349660000000036,0.8621925718929191,0.8918339163260427,0.9381752399783423,119.55691151056413
